regime,rep,Mb,pval,ICE,ICE_norm
neutral_normal,0,0.0,1.0,0.0,0.0
neutral_normal,1,0.0,1.0,0.0,0.0
neutral_normal,2,0.0,1.0,0.0,0.0
neutral_normal,3,0.0,1.0,0.0,0.0
neutral_normal,4,0.0,1.0,0.0,0.0
neutral_normal,5,0.0,1.0,0.0,0.0
neutral_normal,6,0.0,1.0,0.0,0.0
neutral_normal,7,0.0,1.0,0.0,0.0
neutral_normal,8,0.0,1.0,0.0,0.0
neutral_normal,9,0.0,1.0,0.0,0.0
neutral_normal,10,0.0,1.0,0.0,0.0
neutral_normal,11,0.0,1.0,0.0,0.0
neutral_normal,12,0.0,1.0,0.0,0.0
neutral_normal,13,0.0,1.0,0.0,0.0
neutral_normal,14,0.0,1.0,0.0,0.0
neutral_normal,15,0.0,1.0,0.0,0.0
neutral_normal,16,0.0,1.0,0.0,0.0
neutral_normal,17,0.0,1.0,0.0,0.0
neutral_normal,18,0.0,1.0,0.0,0.0
neutral_normal,19,0.0,1.0,0.0,0.0
neutral_normal,20,0.0,1.0,0.0,0.0
neutral_normal,21,0.0,1.0,0.0,0.0
neutral_normal,22,0.0,1.0,0.0,0.0
neutral_normal,23,0.0,1.0,0.0,0.0
neutral_normal,24,0.0,1.0,0.0,0.0
neutral_normal,25,0.0,1.0,0.0,0.0
neutral_normal,26,0.0,1.0,0.0,0.0
neutral_normal,27,0.0,1.0,0.0,0.0
neutral_normal,28,0.0,1.0,0.0,0.0
neutral_normal,29,0.0,1.0,0.0,0.0
neutral_long,0,0.0,1.0,0.0,0.0
neutral_long,1,0.0,1.0,0.0,0.0
neutral_long,2,0.0,1.0,0.0,0.0
neutral_long,3,0.0,1.0,0.0,0.0
neutral_long,4,0.0,1.0,0.0,0.0
neutral_long,5,0.0,1.0,0.0,0.0
neutral_long,6,0.0,1.0,0.0,0.0
neutral_long,7,0.0,1.0,0.0,0.0
neutral_long,8,0.0,1.0,0.0,0.0
neutral_long,9,0.0,1.0,0.0,0.0
neutral_long,10,0.0,1.0,0.0,0.0
