branch,rep,NOE,pvalue,ICE,ICEnorm
B,26,-0.05949999999999994,0.54,-9.32396385905298e-22,0.1322007233338759
C,26,-0.00137499999999997,0.14,1.864792771810596e-21,0.12389133343377977
D,26,0.05112500000000004,0.06,-2.5640900612395697e-21,0.13977660748494364
A,27,0.13400000000000004,0.0,-8.158468376671359e-21,0.14174735447266734
B,27,-0.05349999999999996,0.42,-3.729585543621192e-21,0.13901315135626557
C,27,-0.05912499999999998,0.38,-5.827477411908113e-22,0.12449887047680393
D,27,-0.07162499999999997,0.5,4.66198192952649e-22,0.13158813586338247
A,28,0.06875000000000002,0.1,4.66198192952649e-22,0.13676165398239376
B,28,4.85722573273506e-17,0.4,-4.66198192952649e-22,0.13672223209851425
C,28,-0.09625,0.7,1.9813423200487584e-21,0.1288810013151667
D,28,-0.08249999999999996,0.54,8.158468376671359e-22,0.1208065343845274
A,29,-0.13174999999999998,0.72,6.9929728942897355e-22,0.12076035152317172
B,29,0.150125,0.0,9.32396385905298e-22,0.1335539450933592
C,29,-0.09674999999999999,0.62,1.6316936753342717e-21,0.1228913391984968
D,29,0.10325000000000004,0.02,3.729585543621192e-21,0.13134734485325542
