clade,internal_node,phylospect_NOE,phylospect_pvalue,phylospect_ICEnorm,paml_alt_lnL,paml_null_lnL,paml_LRT,paml_pvalue,paml_alt_w_classes
primates,N4,0.43562911967792634,0.0,0.37210525907553316,-3313.859325,-3315.186631,2.65461200000027,0.05162497379120602,0.16610  1.00000 44.28767 44.28767
apes,N3,0.35486308592557986,0.09,1.6719781052718892,-3315.186631,-3315.186631,0.0,0.5,0.16552  1.00000  1.00000  1.00000
old_world_monkeys,N2,0.5647325717060362,0.03,1.036401789970481,-3315.186631,-3315.186631,0.0,0.5,0.16552  1.00000  1.00000  1.00000
ungulates,N1,0.4456533965128139,0.0,0.4856721436517441,-3311.312979,-3315.186631,7.74730400000044,0.0026896393157233114,0.16722  1.00000 999.00000 999.00000
