omega,n_sites,rep,branch,NOE,pvalue,is_fg
1.25,500,8,B,0.11600000000000002,0.14,False
1.25,500,8,C,-0.179,0.9,False
1.25,500,8,D,-0.051500000000000004,0.68,False
1.25,500,9,A,0.08400000000000002,0.24,True
1.25,500,9,B,-0.015999999999999986,0.56,False
1.25,500,9,C,-0.1585,0.98,False
1.25,500,9,D,0.14275,0.06,False
1.25,500,10,A,0.097,0.48,True
1.25,500,10,B,0.29325,0.02,False
1.25,500,10,C,-0.17924999999999996,1.0,False
1.25,500,10,D,-0.12675,0.98,False
1.25,500,11,A,-0.16599999999999998,0.7,True
1.25,500,11,B,0.13525,0.06,False
1.25,500,11,C,0.18275000000000005,0.04,False
1.25,500,11,D,-0.16849999999999998,0.76,False
1.25,500,12,A,0.005750000000000026,0.6,True
1.25,500,12,B,-0.014249999999999936,0.58,False
1.25,500,12,C,0.08075000000000004,0.26,False
1.25,500,12,D,-0.09299999999999996,0.7,False
1.25,500,13,A,0.14950000000000002,0.18,True
1.25,500,13,B,-0.05050000000000001,0.74,False
1.25,500,13,C,0.15825000000000003,0.12,False
1.25,500,13,D,-0.1505,0.94,False
1.25,500,14,A,0.14200000000000002,0.02,True
1.25,500,14,B,-0.19174999999999998,0.86,False
1.25,500,14,C,0.11200000000000002,0.16,False
1.25,500,14,D,-0.14425,0.66,False
1.25,500,15,A,0.03525000000000002,0.44,True
1.25,500,15,B,0.25025,0.02,False
1.25,500,15,C,0.021500000000000005,0.4,False
1.25,500,15,D,-0.27349999999999997,1.0,False
1.25,500,16,A,-0.008999999999999952,0.58,True
1.25,500,16,B,0.16225000000000003,0.08,False
1.25,500,16,C,-0.07649999999999997,0.76,False
1.25,500,16,D,-0.13524999999999998,0.88,False
1.25,500,17,A,-0.05825,0.52,True
1.25,500,17,B,0.03800000000000005,0.22,False
1.25,500,17,C,-0.15199999999999994,0.74,False
1.25,500,17,D,0.27175000000000005,0.02,False
1.25,500,18,A,0.012749999999999997,0.26,True
1.25,500,18,B,0.01025000000000002,0.18,False
1.25,500,18,C,-0.03474999999999999,0.32,False
1.25,500,18,D,-0.04849999999999999,0.4,False
1.25,500,19,A,0.17975,0.06,True
1.25,500,19,B,-0.119,0.74,False
1.25,500,19,C,-0.05899999999999998,0.34,False
1.25,500,19,D,-0.022749999999999992,0.38,False
1.25,1000,0,A,-0.08099999999999997,0.76,True
1.25,1000,0,B,0.12212500000000004,0.1,False
1.25,1000,0,C,-0.007874999999999955,0.64,False
1.25,1000,0,D,0.04775000000000004,0.4,False
1.25,1000,1,A,-0.05812499999999999,0.7,True
1.25,1000,1,B,0.15250000000000002,0.02,False
1.25,1000,1,C,0.029375000000000026,0.34,False
1.25,1000,1,D,-0.028749999999999953,0.56,False
1.25,1000,2,A,0.05925000000000005,0.16,True
1.25,1000,2,B,-0.1895,0.98,False
1.25,1000,2,C,0.07112500000000005,0.14,False
1.25,1000,2,D,0.22300000000000003,0.0,False
1.25,1000,3,A,-0.10175,0.92,True
1.25,1000,3,B,-0.07549999999999998,0.94,False
