clade,internal_node,phylospect_NOE,phylospect_pvalue,phylospect_ICEnorm,paml_alt_lnL,paml_null_lnL,paml_LRT,paml_pvalue,paml_alt_w_classes
colobines,N2,0.30112858650370816,0.2,0.46066675196986134,-1035.533916,-1036.270846,1.473859999999604,0.11236882940201745,0.00000  1.00000  4.80974  4.80974
hominoids,N11,0.14241346915937736,0.45,0.34592330137453153,-1032.376871,-1035.792255,6.830768000000262,0.0044800365382597854,0.00000  1.00000 999.00000 999.00000
cercopithecines,N7,0.08492578427604491,0.61,0.7013101660411951,-1037.151807,-1037.152357,0.001099999999951251,0.4867710067891633,0.00194  1.00000  1.27572  1.27572
new_world_monkeys,N13,-0.1774421086212157,0.97,0.25507223313015975,-1037.01973,-1037.211157,0.38285399999995207,0.2680398839090067,0.02008  1.00000 24.11778 24.11778
