branch,phylospect_NOE,phylospect_pvalue,phylospect_ICE,phylospect_ICEnorm,paml_alt_lnL,paml_null_lnL,paml_LRT,paml_pvalue
langur_Sen&Sve,-0.5382584532169198,1.0,-6.992972894289736e-21,1.3926868330171707,,,,
langur_Tob&Tfr,-0.5382584532169198,1.0,-6.992972894289736e-21,0.24463418488563407,,,,
Douc_langur_Pne,-0.21175982451116038,0.82,2.3309909647632453e-21,0.7260767501769511,,,,
probiscis_Nla,-0.5382584532169198,1.0,-6.992972894289736e-21,1.330234109803885,,,,
colobus_Cgu&Can,0.19969143998533173,0.36,1.2587351209721524e-20,0.5306969032982892,,,,
baboon_Pcy,-0.5382584532169198,1.0,2.3309909647632453e-21,1.3606015473861706,,,,
mangabey_Cat,-0.5382584532169198,1.0,-6.992972894289736e-21,0.24463418488563407,,,,
rhesus_Mmu,0.43336055553736763,0.24,4.195783736573842e-21,1.3297586373013885,,,,
Allen_Ani,0.427687135068092,0.4,-1.445214398153212e-20,0.9477698415783539,,,,
talapoin_Mta,-0.05718855376052878,0.66,-2.3309909647632453e-20,0.9259658367916496,,,,
patas_Epa,-0.5382584532169198,1.0,-1.9114125911058612e-20,0.924919553464777,,,,
vervet_Cae,-0.5382584532169198,1.0,-6.992972894289736e-21,1.3716174880326284,,,,
human,-0.5382584532169198,1.0,-6.992972894289736e-21,0.9202458412890433,,,,
chimp_bonobo_gorilla,-0.5382584532169198,1.0,-6.992972894289736e-21,0.24463418488563407,,,,
orangutan_Ppy,-0.5382584532169198,1.0,-6.992972894289736e-21,0.24463418488563407,,,,
gibbon_Ggo,-0.05593333496947153,0.6,-6.060576508384437e-21,0.6303620107408817,,,,
squirrel_m,0.048492705616618864,0.43,-2.3309909647632453e-21,0.6521730614854788,,,,
tamarin_Soe,-0.19647349318588891,0.77,9.323963859052981e-21,0.587820623086218,,,,
Marmoset_Cja,-0.3551353325968776,0.98,-1.0722558437910929e-20,0.506750435874572,,,,
