omega,n_sites,n_taxa,rep,branch,NOE,pvalue,ICEnorm,is_fg
1.25,500,4,9,D,0.025,0.22,0.20278436823384588,False
1.25,500,4,10,A,0.13,0.06,0.1755687187399851,True
1.25,500,4,10,B,-0.08249999999999998,0.46,0.1901923368592962,False
1.25,500,4,10,C,-0.08625,0.4,0.16927787805853428,False
1.25,500,4,10,D,0.07749999999999999,0.14,0.19381208682638965,False
1.25,500,4,11,A,0.05700000000000001,0.18,0.18800598394732015,True
1.25,500,4,11,B,0.06200000000000001,0.14,0.19573898436438256,False
1.25,500,4,11,C,-0.025499999999999995,0.46,0.17051942704571818,False
1.25,500,4,11,D,-0.10549999999999995,0.56,0.16597439561570934,False
1.25,500,4,12,A,-0.05824999999999996,0.54,0.16868054126069196,True
