regime,omega,rep,branch,NOE,pvalue,is_fg
short,3.0,7,A,0.1507999999999999,0.12,True
short,3.0,7,B,0.11279999999999989,0.08,False
short,3.0,7,C,0.020799999999999874,0.24,False
short,3.0,7,D,-0.1732000000000001,0.84,False
short,3.0,8,A,0.1473999999999999,0.04,True
short,3.0,8,B,-0.24460000000000015,0.98,False
short,3.0,8,C,0.012399999999999887,0.36,False
short,3.0,8,D,0.0723999999999999,0.18,False
short,3.0,9,A,0.11519999999999984,0.02,True
short,3.0,9,B,0.11319999999999988,0.02,False
short,3.0,9,C,-0.04080000000000013,0.1,False
short,3.0,9,D,0.05419999999999987,0.06,False
short,3.0,10,A,0.21959999999999985,0.0,True
short,3.0,10,B,-0.22240000000000015,0.84,False
short,3.0,10,C,-0.14940000000000014,0.84,False
short,3.0,10,D,0.003599999999999895,0.26,False
short,3.0,11,A,0.08099999999999988,0.08,True
short,3.0,11,B,0.043999999999999886,0.24,False
short,3.0,11,C,-0.056000000000000105,0.5,False
short,3.0,11,D,-0.11900000000000013,0.72,False
short,3.0,12,A,-0.17780000000000012,0.9,True
short,3.0,12,B,-0.0058000000000001176,0.46,False
short,3.0,12,C,0.1611999999999999,0.08,False
short,3.0,12,D,0.07819999999999988,0.14,False
short,3.0,13,A,-0.015400000000000141,0.16,True
short,3.0,13,B,-0.016400000000000137,0.2,False
short,3.0,13,C,-0.05240000000000017,0.18,False
short,3.0,13,D,0.11259999999999987,0.0,False
short,3.0,14,A,0.09419999999999987,0.18,True
short,3.0,14,B,-0.053800000000000105,0.6,False
short,3.0,14,C,-0.008800000000000086,0.4,False
short,3.0,14,D,0.015199999999999894,0.44,False
short,3.0,15,A,0.2285999999999999,0.02,True
short,3.0,15,B,-0.16340000000000016,0.9,False
short,3.0,15,C,-0.048400000000000096,0.5,False
short,3.0,15,D,-0.08240000000000011,0.72,False
short,3.0,16,A,0.15199999999999986,0.06,True
short,3.0,16,B,-0.03800000000000013,0.42,False
short,3.0,16,C,0.2019999999999999,0.04,False
short,3.0,16,D,-0.18000000000000013,0.84,False
short,3.0,17,A,-0.017400000000000145,0.28,True
short,3.0,17,B,0.01459999999999987,0.22,False
short,3.0,17,C,0.03659999999999984,0.14,False
short,3.0,17,D,-0.11140000000000014,0.66,False
short,3.0,18,A,0.13039999999999988,0.08,True
short,3.0,18,B,-0.06960000000000016,0.54,False
short,3.0,18,C,-0.09760000000000013,0.66,False
short,3.0,18,D,0.05239999999999989,0.26,False
short,3.0,19,A,0.30479999999999985,0.0,True
short,3.0,19,B,-0.12320000000000013,0.82,False
short,3.0,19,C,-0.007200000000000137,0.36,False
short,3.0,19,D,-0.13920000000000016,0.78,False
standard,1.0,0,A,0.12100000000000005,0.04,False
standard,1.0,0,B,0.012250000000000028,0.24,False
standard,1.0,0,C,-0.11524999999999995,0.86,False
standard,1.0,0,D,-0.06274999999999997,0.66,False
standard,1.0,1,A,0.015125000000000019,0.58,False
standard,1.0,1,B,0.044500000000000046,0.46,False
standard,1.0,1,C,0.01137500000000002,0.64,False
standard,1.0,1,D,-0.010499999999999982,0.82,False
standard,1.0,2,A,-0.020624999999999956,0.76,False
standard,1.0,2,B,-0.14749999999999996,1.0,False
standard,1.0,2,C,0.03500000000000003,0.56,False
standard,1.0,2,D,0.055000000000000035,0.38,False
standard,1.0,3,A,-0.05349999999999997,0.72,False
standard,1.0,3,B,-0.16099999999999998,0.98,False
standard,1.0,3,C,0.13587500000000005,0.04,False
standard,1.0,3,D,0.05837500000000004,0.18,False
standard,1.0,4,A,-0.05262499999999997,0.8,False
standard,1.0,4,B,-0.028874999999999956,0.5,False
standard,1.0,4,C,0.148625,0.0,False
standard,1.0,4,D,-0.053874999999999965,0.78,False
standard,1.0,5,A,0.048000000000000015,0.38,False
standard,1.0,5,B,-0.09512499999999999,0.96,False
standard,1.0,5,C,-0.03199999999999994,0.8,False
standard,1.0,5,D,0.15800000000000003,0.04,False
standard,1.0,6,A,-0.08749999999999998,0.9,False
standard,1.0,6,B,-0.062499999999999986,0.86,False
standard,1.0,6,C,0.09562500000000004,0.12,False
standard,1.0,6,D,0.061875000000000034,0.36,False
standard,1.0,7,A,-0.07337499999999998,0.96,False
standard,1.0,7,B,0.06725000000000003,0.6,False
standard,1.0,7,C,0.011000000000000034,0.78,False
standard,1.0,7,D,-0.06899999999999998,0.98,False
standard,1.0,8,A,0.020374999999999997,0.56,False
standard,1.0,8,B,-0.08587499999999998,0.88,False
standard,1.0,8,C,-0.062124999999999986,0.9,False
standard,1.0,8,D,0.06037500000000002,0.28,False
standard,1.0,9,A,-0.029749999999999985,0.74,False
standard,1.0,9,B,-0.07537499999999997,0.96,False
standard,1.0,9,C,-0.08974999999999995,0.92,False
standard,1.0,9,D,0.16087500000000002,0.14,False
standard,1.0,10,A,0.02875000000000002,0.6,False
standard,1.0,10,B,-0.059999999999999984,0.9,False
standard,1.0,10,C,0.05812500000000002,0.32,False
standard,1.0,10,D,-0.033749999999999954,0.68,False
standard,1.0,11,A,-0.04274999999999997,0.88,False
standard,1.0,11,B,-0.08274999999999996,0.96,False
standard,1.0,11,C,-0.05774999999999998,0.88,False
standard,1.0,11,D,0.03162500000000004,0.62,False
standard,1.0,12,A,-0.11299999999999996,0.88,False
standard,1.0,12,B,-0.05674999999999995,0.54,False
standard,1.0,12,C,-0.07174999999999998,0.74,False
standard,1.0,12,D,0.03637500000000001,0.22,False
standard,1.0,13,A,-0.015624999999999965,0.22,False
standard,1.0,13,B,-0.08249999999999995,0.56,False
standard,1.0,13,C,-0.016249999999999945,0.28,False
standard,1.0,13,D,0.055000000000000035,0.04,False
standard,1.0,14,A,-0.09124999999999994,0.84,False
standard,1.0,14,B,0.022500000000000017,0.28,False
standard,1.0,14,C,0.055000000000000035,0.18,False
standard,1.0,14,D,-0.024999999999999967,0.48,False
standard,1.0,15,A,0.12387500000000001,0.08,False
standard,1.0,15,B,-0.06737499999999998,0.78,False
standard,1.0,15,C,-0.11237499999999996,0.86,False
standard,1.0,15,D,0.10200000000000006,0.08,False
standard,1.0,16,A,0.10362500000000004,0.04,False
standard,1.0,16,B,-0.18574999999999997,0.96,False
standard,1.0,16,C,0.03612500000000002,0.2,False
standard,1.0,16,D,-0.09324999999999999,0.72,False
standard,1.0,17,A,-0.07112499999999997,0.86,False
standard,1.0,17,B,0.07325000000000004,0.2,False
standard,1.0,17,C,0.08512500000000006,0.24,False
standard,1.0,17,D,-0.138625,0.98,False
standard,1.0,18,A,-0.09037499999999998,0.9,False
standard,1.0,18,B,-0.022249999999999978,0.64,False
standard,1.0,18,C,-0.035999999999999976,0.72,False
standard,1.0,18,D,0.05775000000000001,0.3,False
standard,1.0,19,A,-0.12149999999999998,0.92,False
standard,1.0,19,B,0.002875000000000039,0.22,False
standard,1.0,19,C,0.07350000000000004,0.12,False
standard,1.0,19,D,-0.02524999999999998,0.4,False
standard,3.0,0,A,0.13150000000000006,0.0,True
standard,3.0,0,B,-0.08912499999999995,0.6,False
standard,3.0,0,C,-0.03974999999999995,0.48,False
standard,3.0,0,D,-0.040374999999999966,0.6,False
standard,3.0,1,A,0.10075,0.02,True
standard,3.0,1,B,0.0032500000000000237,0.28,False
